pair_caption,pair_file,reversed_pair_caption,reversed_pair_file,pair_file.1,reversed_pair_file.1
A man laughs followed by music and people speaking with bursts,Si60_sK44D8.wav,A man speaks followed by music and people laughing with bursts,res_228-id.wav,127.wav,127_rev.wav
A solider speaking after rapid gun fires,O0pSFzoLAjY.wav,A solider fires after rapid speaking,res_235-id.wav,132.wav,132_rev.wav
A few small thumps and clicks are accompanied by a mature man talking,ZilnNFGdL7g.wav,A few small talks and clicks are accompanied by a mature man thumping,res_236-id.wav,133.wav,133_rev.wav
"A vehicle idles nearby, followed by an airplane engine roaring, after which a man speaks in an airplane cabin",PD5B_R_fEwc.wav,"A vehicle roars nearby, followed by an airplane engine idling, after which a man speaks in an airplane cabin",res_237-id.wav,134.wav,134_rev.wav
"A crowd of people chit chat then a man speaks and someone whistles, then a person on a microphone begins speaking",5FTnLbVHssY.wav,"A crowd of people speaks then a man chit chats and someone whistles, then a person on a microphone begins chatting",res_240-id.wav,136.wav,136_rev.wav
A pigeon coos softly and then there is a lot of pecks and cooing by a lot of birds,_0GMVllsIy4.wav,A pigeon pecks softly and then there is a lot of coos and pecking by a lot of birds,res_243-id.wav,138.wav,138_rev.wav
"Multiple fire truck sirens going off continuously, then the engine of a car zooms past",oFsStsueMZc.wav,"Multiple fire truck engines going off continuously, then the siren of a car zooms past",res_244-id.wav,139.wav,139_rev.wav
A man speaking is followed by an irritated yawn and people talking,_kfA3KdDJkU.wav,A man yawning is followed by an irritated speak and people talking,res_246-id.wav,140.wav,140_rev.wav
"Rubber stretches, a loud pop, a woman speaks",Tf0Qf0NHBuM.wav,"Rubber pops, a loud stretch, a woman speaks",res_247-id.wav,141.wav,141_rev.wav
"Light slashing followed by a bigger splash, a laugh and a shake",-yyGrcn-tUU.wav,"Light laughing followed by a bigger splash, a slash and a shake",res_248-id.wav,142.wav,142_rev.wav
Vehicle racing fast and engine roving,7iseubFVGVQ.wav,Engine racing fast and vehicle roving,res_252-id.wav,144.wav,144_rev.wav
Synthesized beeps and bloops followed by a piano playing and electronic laser effects,Ulc_0EQSvwY.wav,Synthesized playing and bloops followed by a piano beeping and electronic laser effects,res_254-id.wav,146.wav,146_rev.wav
A woman speaks while the listeners make noise,35xEuhPEFT0.wav,A woman makes noise while the listeners speak,res_259-id.wav,150.wav,150_rev.wav
An audio device with bizarre recorded noises prior to a woman talking,09LHQZHc8Jg.wav,An audio device with bizarre recorded talking prior to a woman making noises,res_262-id.wav,153.wav,153_rev.wav
Laid back music and bass drums are in the background while a man speaks softly followed by a sequence of drills,JuWpzdmKJs0.wav,Laid back drills and bass drums are in the background while a man speaks softly followed by a sequence of music,res_265-id.wav,155.wav,155_rev.wav
"Girls are laughing followed by conversation, clanking cans and loud, long burps",POWfxj3v3yw.wav,"Girls are conversing followed by laughing, clanking cans and loud, long burps",res_267-id.wav,156.wav,156_rev.wav
A man announces a game as kids yell and pigs footsteps fast and squeal,o1nLqLh1V7Y.wav,A man yells a game as kids announce and pigs footsteps fast and squeal,res_268-id.wav,157.wav,157_rev.wav
A man talking followed by a few men chuckling and the wind is soft on the mic,eVKfQGOrxAQ.wav,A man chuckling followed by a few men talking and the wind is soft on the mic,res_272-id.wav,159.wav,159_rev.wav
"Pigeons coo softly in a rhythmic, soft pulsing manner two times, followed by slightly louder activity of the birds repeated feather fluffing two times in sequence, with a background of softly creaking wood, concluding with three more rhythmic cooing pulses",9blc-k3aDRM.wav,"Pigeons pulse softly in a rhythmic, soft cooing manner two times, followed by slightly louder activity of the birds repeated feather fluffing two times in sequence, with a background of softly creaking wood, concluding with three more rhythmic pulsing coos",res_274-id.wav,160.wav,160_rev.wav
Light music playing followed by static electricity briefly buzzing as rain falls on a surface,WURm8gmwAXE.wav,Light music buzzing followed by static electricity briefly playing as rain falls on a surface.,res_276-id.wav,162.wav,162_rev.wav
"Siren of emergency service vehicle, approaching and becoming loud as traffic swishes on roadways",6SOTtKOTPFw.wav,"Siren of emergency service vehicle, swishing and becoming loud as traffic approaches on roadways",res_278-id.wav,164.wav,164_rev.wav
"A man narrates in a large, echoing space, and people in the background talk and cough",97LgKWJzH3Q.wav,"A man talks in a large, echoing space, and people in the background narrate and cough",res_281-id.wav,166.wav,166_rev.wav
"Slight rustling and scraping occur as an adult male speaks, rapid keyboarding is performed and the adult male speaks again, then more rapid keyboarding is performed",ZXnGH6IMOfI.wav,"Slight speaking and scraping occur as an adult male rustles, rapid keyboarding is performed and the adult male speaks again, then more rapid keyboarding is rustled",res_282-id.wav,167.wav,167_rev.wav
"A woman speaks to a large crowd, some faint laughter and hitter chatter",1bBsTMiEsIo.wav,"A woman chatters to a large crowd, some faint laughter and hitter speaks",res_290-id.wav,172.wav,172_rev.wav
"A person whistles, and then people talk, after which a steam engine lets of steam",nbQ7_9FwaRQ.wav,"A person talks, and then people whistle, after which a steam engine lets of steam",res_293-id.wav,175.wav,175_rev.wav
Rustiling with light wind and distant chirping,f4miU0IjHGs.wav,Chirping with light wind and distant rustiling,res_294-id.wav,176.wav,176_rev.wav
"A man talks, something pops loudly, and people scream and react",7RKCYG-mKxA.wav,"A man screams, something pops loudly, and people talk and react",res_297-id.wav,178.wav,178_rev.wav
"As a woman speaks, a young kid make a declaration and a person whistles and a young male shouts out excitedly",K8YKMcYFWBc.wav,"As a woman whistles, a young kid makes a declaration and a person speaks and a young male shouts out excitedly",res_301-id.wav,182.wav,182_rev.wav
A man and baby laughing as a woman snickers in the background followed by a person spitting then more laughing,leUI4oVoh_Y.wav,A man and baby snickering as a woman laughs in the background followed by a person spitting then more laughing,res_302-id.wav,183.wav,183_rev.wav
"Loud coos of pigeon or doves, with other bird sound in the background",-PZm_2vt_BQ.wav,"Loud sounds of pigeon or doves, with other bird coos in the background",res_305-id.wav,185.wav,185_rev.wav
A ambulance blaring in the distance followed by a woman and young child speaking and a car honking,hQ9_CbLG5AY.wav,An ambulance honking in the distance followed by a woman and young child speaking and a car blaring,res_311-id.wav,189.wav,189_rev.wav
High pressure liquid spraying as a motor engine runs followed by an electronic signal beeping as a vehicle drives by,ieYJL3BgWMQ.wav,High pressure engine running as a motor liquid spraying followed by an electronic signal beeping as a vehicle drives by,res_315-id.wav,193.wav,193_rev.wav
A rooster screams followed by a goat making noises,3pb6aR0Y_-E.wav,A rooster making noises followed by a goat screaming,res_316-id.wav,194.wav,194_rev.wav
Silverware bangs together then a man begins talking while something crinkles,3BW4M5hs-EU.wav,Silverware crinkles together then a man begins talking while something bangs.,res_319-id.wav,195.wav,195_rev.wav
